,Address,Price,Bedroom,Bathroom,Carpark,Area
0,"93 Hoddle Avenue, Bradbury NSW 2560","Price Guide $540,000 - $580,000",4 Beds,2 Baths,1 Parking,588m² 
1,"65 Masons Parade, Point Frederick NSW 2250","$2,700,000",3 Beds,2 Baths,3 Parkings,N/A
2,"65 Masons Parade, Point Frederick NSW 2250","$880,000 to $1,680,000",3 Beds,2 Baths,2 Parkings,N/A
3,"65 Masons Parade, Point Frederick NSW 2250","$850,000 to $1,190,000",2 Beds,2 Baths,2 Parkings,N/A
4,"65 Masons Parade, Point Frederick NSW 2250","$490,0000 to $640,000",1 Bed,1 Bath,1 Parking,N/A
5,"396 Lane Cove Road, Macquarie Park NSW 2113","$635,000",1 Bed,1 Bath,− 0 Parkings,59m² 
6,"396 Lane Cove Road, Macquarie Park NSW 2113","$2,388,000",4 Beds,3 Baths,1 Parking,N/A
7,"396 Lane Cove Road, Macquarie Park NSW 2113","$926,000",2 Beds,1 Bath,1 Parking,N/A
8,"nbh/25-27 Epping Road, Macquarie Park NSW 2113","$916,000 to $1,281,000",2 Beds,1 Bath,1 Parking,N/A
9,"Lot 311 Burrell Road, Pitt Town NSW 2756","$1,457,288",5 Beds,3 Baths,2 Parkings,"1,732m² "
10,"Lot 306 Barnett Street, Pitt Town NSW 2756","$928,888","1,519m² ",N/A,0,N/A
11,"215 Barnett Street, Pitt Town NSW 2756","$908,888","1,657m² ",N/A,0,N/A
12,"Lot 308 Barnett Street, Pitt Town NSW 2756","$908,888","1,788m² ",N/A,0,N/A
13,"5512 Cove Boulevard, Shell Cove NSW 2529","$1,275,000",5 Beds,4 Baths,2 Parkings,N/A
14,"5506 Cove Boulevard, Shell Cove NSW 2529","$985,000",5 Beds,3 Baths,2 Parkings,N/A
15,"5501 Cove Boulevarde, Shell Cove NSW 2529","$925,000",4 Beds,2 Baths,2 Parkings,N/A
16,"Lot 1058 Cove Boulevard, Shell Cove NSW 2529","$890,000",721m² ,N/A,0,N/A
17,"Lot 910 Matavai Street, Cobbitty NSW 2570","$795,000",4 Beds,2 Baths,2 Parkings,471m² 
18,"Lot 924 Thoroughbred Drive, Cobbitty NSW 2570",753000,4 Beds,2 Baths,2 Parkings,474m² 
19,"Lot 970 Olive Hill Drive, Cobbitty NSW 2570","$740,000",4 Beds,2 Baths,2 Parkings,420m² 
20,"Lot 992 Matavai Street, Cobbitty NSW 2570","$698,500",3 Beds,2 Baths,2 Parkings,276m² 
21,"65 Central Ave, Oran Park NSW 2570","$799,900",4 Beds,2 Baths,2 Parkings,419m² 
22,"47 Central Ave, Oran Park NSW 2570","$799,900",4 Beds,2 Baths,2 Parkings,419m² 
23,"49 Central Ave, Oran Park NSW 2570","$719,900",3 Beds,2 Baths,2 Parkings,419m² 
24,"63 Central Ave, Oran Park NSW 2570","$709,900",3 Beds,2 Baths,2 Parkings,419m² 
25,"Lot 338 Waterglass Street, Spring Farm NSW 2570","$743,000",4 Beds,25 Baths,2 Parkings,514m² 
26,"Lot 313 Waterglass Street, Spring Farm NSW 2570","$729,000",4 Beds,2 Baths,2 Parkings,N/A
27,"Lot 316 Waterglass Street, Spring Farm NSW 2570","$724,000",4 Beds,2 Baths,1 Parking,515m² 
28,"Lot 315 Waterglass Street, Spring Farm NSW 2570","$709,000",4 Beds,2 Baths,2 Parkings,396m² 
29,"Lot 206 Birmingham Circuit, Bellbird NSW 2325","$427,908",4 Beds,2 Baths,2 Parkings,634.6m² 
30,"Lot 219 Birmingham Circuit, Bellbird NSW 2325","$426,963",4 Beds,2 Baths,2 Parkings,616m² 
31,"Lot 203 Birmingham Circuit, Bellbird NSW 2325","$385,280",3 Beds,2 Baths,1 Parking,634m² 
32,"Lot 304 Birmingham Circuit, Bellbird NSW 2325","$210,888",812.6m² ,N/A,0,N/A
33,Googong NSW 2620,"$375,000",698m² ,N/A,0,N/A
34,Googong NSW 2620,"$364,000",N/A,N/A,0,N/A
35,Googong NSW 2620,"$346,000",N/A,N/A,0,N/A
36,Googong NSW 2620,"$328,000",N/A,N/A,0,N/A
37,Googong NSW 2620,"$322,000",N/A,N/A,0,N/A
38,Googong NSW 2620,"$355,000",633m² ,N/A,0,N/A
39,Googong NSW 2620,"$320,000",606m² ,N/A,0,N/A
40,Googong NSW 2620,"$330,000",576m² ,N/A,0,N/A
41,"Lot 403 Somervale Road, Sandy Beach NSW 2456","Live the Seacrest life $275,000",637m² ,N/A,0,N/A
42,"Lot 405 Somervale Road, Sandy Beach NSW 2456","Seacrest Life by the beach $265,000",621m² ,N/A,0,N/A
43,"Lot 402 Shorebird Way, Sandy Beach NSW 2456","Sun, Sand and Seacrest $260,000",568m² ,N/A,0,N/A
44,"Lot 410 Rockpool Avenue, Sandy Beach NSW 2456","The Seacrest Life $220,000",467m² ,N/A,0,N/A
45,"Lot 130 Grand Parade, Rutherford NSW 2320","$225,000",610.9m² ,N/A,0,N/A
46,"Lot 129 Grand Parade, Rutherford NSW 2320","$215,000",591.8m² ,N/A,0,N/A
47,"Lot 128 Grand Parade, Rutherford NSW 2320","$215,000",621m² ,N/A,0,N/A
48,"Lot 106 Tournament Street, Rutherford NSW 2320","$179,000",647m² ,N/A,0,N/A
49,"99 Schofields Lane, Berry NSW 2535","$3,000,000",5 Beds,3 Baths,3 Parkings,N/A
50,"302/168 Kent Street, Millers Point NSW 2000","$2,900,000",2 Beds,2 Baths,1 Parking,N/A
51,"801/1 Pottinger Street, Walsh Bay NSW 2000",Contact Agent for price guide,2 Beds,2 Baths,1 Parking,N/A
52,"17E/1 Harbour Street, Sydney NSW 2000",Contact Agent,2 Beds,2 Baths,1 Parking,N/A
53,"59 Willeroo Drive, Windsor Downs NSW 2756",For sale,4 Beds,3 Baths,13 Parkings,1.55ha 
54,"136/361 Kent Street, Sydney NSW 2000","$1,980,000",3 Beds,2 Baths,2 Parkings,N/A
55,"4 TEVEN STREET, Brunswick Heads NSW 2483",Please call Fiona,4 Beds,2 Baths,2 Parkings,"1,012m² "
56,"9 Dilkera Street, South Durras NSW 2536",Auction Sat 16th Feb 11:00am,4 Beds,2 Baths,7 Parkings,701.9m² 
57,"3077/65 Tumbalong Boulevard, Haymarket NSW 2000",Contact Agent,2 Beds,2 Baths,1 Parking,N/A
58,"1/16 Percival Road, Caringbah South NSW 2229","$1,650,000",3 Beds,2 Baths,3 Parkings,N/A
59,"1 Woodlands Road, Port Macquarie NSW 2444","$1,590,000",64.75ha ,N/A,0,N/A
60,"38 Squires Crescent, Coledale NSW 2515",Contact agent,5 Beds,2 Baths,2 Parkings,"1,144m² "
61,"3/48-50 Oleander Parade, Caringbah South NSW 2229","Auction, unless sold prior",4 Beds,2 Baths,2 Parkings,N/A
62,"90 Hall Street, Pitt Town NSW 2756",Contact Agent,4 Beds,2 Baths,3 Parkings,"1,500m² "
63,"66 Wetherill Street, Leichhardt NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,247m² 
64,"343 Balmain  Road, Lilyfield NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,152m² 
65,"28 Cliff Road, Forster NSW 2428","$1,230,000",4 Beds,3 Baths,2 Parkings,569m² 
66,"133 Francis Street, Lilyfield NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,N/A
67,"5 Hearn Street, Leichhardt NSW 2040",Contact Agent,3 Beds,2 Baths,− 0 Parkings,N/A
68,"18B Dudley Avenue, Caringbah NSW 2229",FOR SALE,4 Beds,2 Baths,2 Parkings,585m² 
69,Central Mangrove NSW 2250,FOR SALE,1.05ha ,N/A,0,N/A
70,"135B BTU Road, Nowra Hill NSW 2540",Expressions of Interest,4 Beds,2 Baths,4 Parkings,5ha 
71,"3/9 Breakers Way, Korora NSW 2450","$1,075,000",5 Beds,4 Baths,2 Parkings,"2,110m² "
72,"24 Tyndall Street, Mittagong NSW 2575","Price Guide $1,025,000",4 Beds,2 Baths,2 Parkings,695m² 
73,"14 Hartford Avenue, Glen Alpine NSW 2560","$980,000 - $1,040,000",4 Beds,2 Baths,3 Parkings,803m² 
74,"Lot 3 1775 Wombeyan Caves Road, High Range NSW 2575","$975,000",42.78ha ,N/A,0,N/A
75,"9 Taren Road, Caringbah NSW 2229",New Listing,2 Beds,1 Bath,2 Parkings,588.1m² 
76,"44 Meares Road, Mcgraths Hill NSW 2756",Just Listed,4 Beds,3 Baths,2 Parkings,638.6m² 
77,"8/32 Vista Street, Caringbah NSW 2229","$940,000",3 Beds,2 Baths,1 Parking,185m² 
