,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
0,Laing+Simmons - ROSEBERY,"359/83-93 Dalmeny Avenue, Rosebery","Guide $700,000-725,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1,Laing+Simmons - ROSEBERY,"2/225 King Street, Mascot","Buyers Range $1,180,000-1,230,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,201 m² building size
2,River Realty - Maitland,"13 Teal Street, Aberglasslyn","Price Guide $570,000 - $615,000",House,4 bedrooms,2 bathrooms,2 parking spaces,653.4 m² land size
3,RE/MAX Property Specialists - Dee Why & Narrabeen ,"66 Grandview Pde, Mona Vale",For Sale $2.95 m to $3.2 m,House,4 bedrooms,4 bathrooms,2 parking spaces,556.4 m² land size
4,RE/MAX Property Specialists - Dee Why & Narrabeen ,"9/13-15 Richmond Ave, Dee Why","$695,000",Unit,2 bedrooms,1 bathroom,1 parking space,82.7 m² building size
5,The Property Co. Realty - PENRITH,"37 Koloona Drive, Emu Plains","$860,000",House,6 bedrooms,3 bathrooms,2 parking spaces,675 m² land size
6,Laing and Simmons -  Blacktown,"190 Bungarribee Road, Blacktown","$629,000 - $669,000",House,3 bedrooms,1 bathroom,2 parking spaces,556 m² land size
7,Cobden & Hayson - Annandale,"6 Henry Street, Lewisham",Contact Agent,House,3 bedrooms,2 bathrooms,1 parking space,187 m² land size
8,Laing and Simmons -  Blacktown,"35/17-19 Third Avenue, Blacktown","$429,950",Apartment,2 bedrooms,1 bathroom,1 parking space,77 m² building size
9,Wiseberry Tumbi Umbi,"9 Sunshine Avenue, Chittaway Point",Contact Agent,House,3 bedrooms,2 bathrooms,2 parking spaces,512 m² land size
10,Highland Property Agents - SUTHERLAND,"3 Yowie Avenue, Caringbah South","Auction, unless sold prior",House,5 bedrooms,2 bathrooms,2 parking spaces,784 m² land size
11,McGrath - Port Macquarie,"2/9 Tamaringa Avenue, Port Macquarie",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,503 m² land size
12,Australian Real Estate - Quakers Hill,"45 Tree Tops Circuit, Quakers Hill","Guide $620,000-$650,000 | Steve Brodie",Townhouse,4 bedrooms,2 bathrooms,1 parking space,N/A
13,Harcourts Hills Living - Baulkham Hills,"20 Somerset Drive, North Rocks",Auction: On Site Saturday 9th February at 12.30pm,Residential Land,0,0,0,790.1 m² land size
14,PRDnationwide - Hunter Valley,"25 St Fagans Parade, Rutherford","$399,000",House,3 bedrooms,1 bathroom,2 parking spaces,952 m² land size
15,Carpenter Partners Real Estate - Tahmoor,"1/4 Janice Drive, Tahmoor","$480,000-$510,000",House,3 bedrooms,1 bathroom,1 parking space,N/A
16,Highland Property Agents - SUTHERLAND,"11/11-13 Oakwood Street, Sutherland",For Sale,Villa,3 bedrooms,1 bathroom,1 parking space,N/A
17,Ray White Austral,"32 Lindeman Cres, Green Valley",AUCTION - 9th February 11:45 AM,House,5 bedrooms,4 bathrooms,2 parking spaces,782 m² land size
18,BradfieldCleary - Double Bay,"17/9 Wylde Street, Potts Point","For Sale – Guide $975,000 to $1,025,000",Apartment,2 bedrooms,1 bathroom,0,N/A
19,United Agents Property Group,"22 Cumberland Street, Gregory Hills","$659,000 - $679,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
20,MMJ Wollongong,"1/20 Foley Street, Gwynneville","$479,990",Unit,3 bedrooms,1 bathroom,1 parking space,N/A
21,Dukes Estate Agents - PENRITH,"83 Lethbridge Street, Penrith","$769,000 - $799,000",House,3 bedrooms,1 bathroom,1 parking space,588 m² land size
22,Upstate - Dee Why,"107/517 Pittwater Road, Brookvale",Contact Agent,Unit,2 bedrooms,2 bathrooms,2 parking spaces,139 m² building size
23,Rawson Homes - Rhodes,"177 Riverstone Oasis, Riverstone","$847,700",House,4 bedrooms,2 bathrooms,2 parking spaces,385.3 m² land size
24,One Agency Rebecca Bull - BOGANGAR,"8 Tweed Coast Road, Hastings Point","$3,500,000",House,8 bedrooms,4 bathrooms,4 parking spaces,"1,125 m² land size"
25,McLaren Real Estate - Narellan,"33 Macarthur Circuit, Camden Park",New to Market,House,6 bedrooms,3 bathrooms,2 parking spaces,979 m² land size
26,RESIDE Real Estate - Wollondilly/Macarthur,"4 Yallambi St, Picton","$700,000 - $735,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
